Date,Net asset values in currency of account (EUR)
29/07/1994,1014.85
31/08/1994,1027.34
30/09/1994,995.18
31/10/1994,995.62
30/11/1994,1004.29
30/12/1994,1000.43
31/01/1995,991.54
28/02/1995,998.02
31/03/1995,1004.54
28/04/1995,1027.41
31/05/1995,1053.77
30/06/1995,1050.48
31/07/1995,1069.75
31/08/1995,1083.68
29/09/1995,1093.39
31/10/1995,1096.42
30/11/1995,1125.72
29/12/1995,1146.87
31/01/1996,1179.62
29/02/1996,1164.86
29/03/1996,1177.07
30/04/1996,1200.23
31/05/1996,1196.34
28/06/1996,1198.47
31/07/1996,1180.44
30/08/1996,1190.75
30/09/1996,1226.32
31/10/1996,1225.58
29/11/1996,1261.53
31/12/1996,1270.6
31/01/1997,1315.29
28/02/1997,1336.58
27/03/1997,1332.71
30/04/1997,1352.53
30/05/1997,1373.21
30/06/1997,1412.92
31/07/1997,1472.41
29/08/1997,1417.95
30/09/1997,1453.77
31/10/1997,1402.16
28/11/1997,1423.08
31/12/1997,1455.68
30/01/1998,1492.92
27/02/1998,1525.63
31/03/1998,1562.29
30/04/1998,1555.47
29/05/1998,1571.55
30/06/1998,1583.5
31/07/1998,1589.01
31/08/1998,1521.68
30/09/1998,1481.64
30/10/1998,1532.63
30/11/1998,1588.33
30/12/1998,1605.8
29/01/1999,1642.92
26/02/1999,1629.58
31/03/1999,1648.39
30/04/1999,1691.88
31/05/1999,1662.17
30/06/1999,1675.58
30/07/1999,1638.9
31/08/1999,1650.08
30/09/1999,1634.41
29/10/1999,1661.58
30/11/1999,1707.59
30/12/1999,1763.56
31/01/2000,1728.76
29/02/2000,1772.72
31/03/2000,1808.55
28/04/2000,1805.91
31/05/2000,1780.89
30/06/2000,1788.7
31/07/2000,1794.03
31/08/2000,1831.91
29/09/2000,1799.61
31/10/2000,1818.42
30/11/2000,1781.44
29/12/2000,1771.15
31/01/2001,1803.36
28/02/2001,1740.07
30/03/2001,1717.64
30/04/2001,1765
31/05/2001,1769.53
29/06/2001,1750.28
31/07/2001,1728.84
31/08/2001,1671.54
28/09/2001,1597
31/10/2001,1647.4
30/11/2001,1693.06
31/12/2001,1699.79
31/01/2002,1700.1
28/02/2002,1693.86
29/03/2002,1712.35
30/04/2002,1675.11
31/05/2002,1651.41
28/06/2002,1581.59
31/07/2002,1510.31
30/08/2002,1524.21
30/09/2002,1417.98
31/10/2002,1482.38
29/11/2002,1523.75
31/12/2002,1468.04
31/01/2003,1430.82
28/02/2003,1412.45
31/03/2003,1390.57
30/04/2003,1456.76
30/05/2003,1479.1
30/06/2003,1506.63
31/07/2003,1525.4
29/08/2003,1549.59
30/09/2003,1523.03
31/10/2003,1562.01
28/11/2003,1562.84
31/12/2003,1592.14
30/01/2004,1617.16
27/02/2004,1635.94
31/03/2004,1635.13
30/04/2004,1621.33
31/05/2004,1611.28
30/06/2004,1635.45
30/07/2004,1619.74
31/08/2004,1627.68
30/09/2004,1636.55
29/10/2004,1652.77
30/11/2004,1672.76
31/12/2004,1695.55
31/01/2005,1712.34
28/02/2005,1726.19
31/03/2005,1722.22
29/04/2005,1710.73
31/05/2005,1763.51
30/06/2005,1797.78
29/07/2005,1820.6
31/08/2005,1821.02
30/09/2005,1853.78
31/10/2005,1826.49
30/11/2005,1864.13
30/12/2005,1895.61
31/01/2006,1910.85
28/02/2006,1929.27
31/03/2006,1932.91
28/04/2006,1922.83
31/05/2006,1872.21
30/06/2006,1873.41
31/07/2006,1885.99
31/08/2006,1917.16
29/09/2006,1944.9
31/10/2006,1976.12
30/11/2006,1976.37
29/12/2006,2000.76
31/01/2007,2015.12
28/02/2007,1999.87
30/03/2007,2007.61
30/04/2007,2036.8
31/05/2007,2071.07
29/06/2007,2056.23
31/07/2007,2025.28
31/08/2007,2034.21
28/09/2007,2043.4
31/10/2007,2065.38
30/11/2007,2025.88
31/12/2007,2010.25
31/01/2008,1925.55
29/02/2008,1897.59
31/03/2008,1857.07
30/04/2008,1904.89
30/05/2008,1909.43
30/06/2008,1805.51
31/07/2008,1805.54
29/08/2008,1841.38
30/09/2008,1756.26
31/10/2008,1656.92
28/11/2008,1628.14
31/12/2008,1624.97
30/01/2009,1574.03
27/02/2009,1486.14
31/03/2009,1515.94
30/04/2009,1622.3
29/05/2009,1655.47
30/06/2009,1660.24
31/07/2009,1740.49
31/08/2009,1780.01
30/09/2009,1814.41
30/10/2009,1791.18
30/11/2009,1813.49
