Date,Net asset values in currency of account (EUR)
30/10/1992,999.7
30/11/1992,1003.03
30/12/1992,1012.22
29/01/1993,1018.39
26/02/1993,1054.97
31/03/1993,1065.53
30/04/1993,1059.55
28/05/1993,1076.54
30/06/1993,1106.16
30/07/1993,1123.78
31/08/1993,1154.55
30/09/1993,1147.22
29/10/1993,1166.92
30/11/1993,1176.62
31/12/1993,1198.87
31/01/1994,1207.31
28/02/1994,1185.98
31/03/1994,1165.57
29/04/1994,1160.29
31/05/1994,1151.95
30/06/1994,1140.38
29/07/1994,1147.53
31/08/1994,1141.63
30/09/1994,1133.02
31/10/1994,1135.5
30/11/1994,1154.08
30/12/1994,1150.04
31/01/1995,1160.69
28/02/1995,1174.74
31/03/1995,1197.61
28/04/1995,1210.88
31/05/1995,1233.29
30/06/1995,1231.34
31/07/1995,1237.28
31/08/1995,1251.71
29/09/1995,1260.33
31/10/1995,1276.78
30/11/1995,1297.24
29/12/1995,1310.84
31/01/1996,1325.11
29/02/1996,1310.74
29/03/1996,1315.26
30/04/1996,1327.18
31/05/1996,1324.52
28/06/1996,1326.08
31/07/1996,1332.22
30/08/1996,1342.9
30/09/1996,1363.02
31/10/1996,1368.17
29/11/1996,1381.6
31/12/1996,1386.84
31/01/1997,1401.54
28/02/1997,1407.83
27/03/1997,1396.81
30/04/1997,1407.27
30/05/1997,1415.6
30/06/1997,1427.83
31/07/1997,1441
29/08/1997,1435.65
30/09/1997,1448.2
31/10/1997,1442.73
28/11/1997,1447.52
31/12/1997,1460.98
30/01/1998,1483.98
27/02/1998,1491.33
31/03/1998,1494.95
30/04/1998,1495.31
29/05/1998,1504.82
30/06/1998,1511.54
31/07/1998,1518.7
31/08/1998,1538.23
30/09/1998,1552.22
30/10/1998,1555.15
30/11/1998,1569.82
30/12/1998,1580.03
29/01/1999,1601.49
26/02/1999,1588.84
31/03/1999,1595.65
30/04/1999,1606.15
31/05/1999,1577.86
30/06/1999,1557.43
30/07/1999,1542.41
31/08/1999,1536.42
30/09/1999,1537.02
29/10/1999,1533.49
30/11/1999,1541.82
