Date,Net asset values in currency of account (EUR)
30/09/1991,998.48
31/10/1991,1000.9
29/11/1991,981.24
30/12/1991,985.31
31/01/1992,1022.22
28/02/1992,1034.65
31/03/1992,1003.85
30/04/1992,1015.52
29/05/1992,1032.53
30/06/1992,985.89
31/07/1992,952.86
28/08/1992,921.98
30/09/1992,943.77
30/10/1992,980.6
30/11/1992,1011.18
30/12/1992,1037.4
29/01/1993,1026.81
26/02/1993,1089.89
31/03/1993,1113.24
30/04/1993,1113.03
28/05/1993,1155.85
30/06/1993,1188.08
30/07/1993,1223.85
31/08/1993,1286.45
30/09/1993,1236.68
29/10/1993,1288.72
30/11/1993,1271.57
31/12/1993,1337.74
31/01/1994,1360.94
28/02/1994,1331.53
31/03/1994,1293.56
29/04/1994,1306.13
31/05/1994,1285.57
30/06/1994,1242.33
29/07/1994,1260.09
31/08/1994,1285.05
30/09/1994,1241.64
31/10/1994,1242.19
30/11/1994,1243.47
30/12/1994,1239.47
31/01/1995,1218.68
28/02/1995,1228.65
31/03/1995,1228.51
28/04/1995,1264.55
31/05/1995,1304.73
30/06/1995,1298.2
31/07/1995,1329.42
31/08/1995,1345.36
29/09/1995,1350.67
31/10/1995,1350.7
30/11/1995,1390.62
29/12/1995,1421.9
31/01/1996,1476.77
29/02/1996,1463.29
29/03/1996,1480.06
30/04/1996,1522.43
31/05/1996,1515.84
28/06/1996,1515.81
31/07/1996,1470.45
30/08/1996,1489.01
30/09/1996,1540.74
31/10/1996,1537.26
29/11/1996,1595.2
31/12/1996,1611.73
31/01/1997,1679.02
28/02/1997,1716.53
27/03/1997,1720.03
30/04/1997,1746.68
30/05/1997,1784.37
30/06/1997,1854.67
31/07/1997,1972.39
29/08/1997,1864.5
30/09/1997,1935.92
31/10/1997,1825.59
28/11/1997,1860.82
31/12/1997,1920.92
30/01/1998,1985.59
27/02/1998,2057.56
31/03/1998,2140.32
30/04/1998,2126.2
29/05/1998,2147.26
30/06/1998,2160.32
31/07/1998,2165.87
31/08/1998,1999.22
30/09/1998,1917.41
30/10/1998,2010.94
30/11/1998,2109.67
30/12/1998,2132.87
29/01/1999,2189.31
26/02/1999,2175.17
31/03/1999,2215.2
30/04/1999,2303.94
31/05/1999,2253.65
30/06/1999,2296.28
30/07/1999,2230.59
31/08/1999,2255.44
30/09/1999,2219.32
29/10/1999,2276.05
30/11/1999,2363.16
30/12/1999,2483.05
31/01/2000,2425.33
29/02/2000,2511.56
31/03/2000,2571.48
28/04/2000,2561.75
31/05/2000,2511.83
30/06/2000,2523.61
31/07/2000,2528.58
31/08/2000,2598.1
