Date,Net asset values in currency of account (EUR)
30/09/1991,999.46
31/10/1991,1003.08
29/11/1991,995.31
30/12/1991,1003.19
31/01/1992,1029.5
28/02/1992,1038.17
31/03/1992,1021.76
30/04/1992,1035.24
29/05/1992,1046.13
30/06/1992,1033.18
31/07/1992,1024.87
28/08/1992,1008.97
30/09/1992,1043.62
30/10/1992,1082.89
30/11/1992,1102.42
30/12/1992,1127.26
29/01/1993,1127.21
26/02/1993,1184.22
31/03/1993,1205.27
30/04/1993,1199.5
28/05/1993,1225.68
30/06/1993,1258.84
30/07/1993,1285.92
31/08/1993,1331.01
30/09/1993,1310.19
29/10/1993,1344.86
30/11/1993,1346.63
31/12/1993,1387.17
31/01/1994,1400.13
28/02/1994,1373.75
31/03/1994,1344.9
29/04/1994,1344.38
31/05/1994,1329.71
30/06/1994,1306.43
29/07/1994,1319.01
31/08/1994,1324.17
30/09/1994,1302.31
31/10/1994,1305
30/11/1994,1320.51
30/12/1994,1317.34
31/01/1995,1318.86
28/02/1995,1334.98
31/03/1995,1357.05
28/04/1995,1380.55
31/05/1995,1411.65
30/06/1995,1407.26
31/07/1995,1423.6
31/08/1995,1442.04
29/09/1995,1455.5
31/10/1995,1469.95
30/11/1995,1501.22
29/12/1995,1525.25
31/01/1996,1555.38
29/02/1996,1536.01
29/03/1996,1545.75
30/04/1996,1568.11
31/05/1996,1561.76
28/06/1996,1561.52
31/07/1996,1554.1
30/08/1996,1570.67
30/09/1996,1604.19
31/10/1996,1606.89
29/11/1996,1637.09
31/12/1996,1646.02
31/01/1997,1679.6
28/02/1997,1695.99
27/03/1997,1685.03
30/04/1997,1700.24
30/05/1997,1719.81
30/06/1997,1749.03
31/07/1997,1796.71
29/08/1997,1764.26
30/09/1997,1797.17
31/10/1997,1764.21
28/11/1997,1779.2
31/12/1997,1809.46
30/01/1998,1848.26
27/02/1998,1871.07
31/03/1998,1894.53
30/04/1998,1891.27
29/05/1998,1906.99
30/06/1998,1918.06
31/07/1998,1929.11
31/08/1998,1914.92
30/09/1998,1905.74
30/10/1998,1923.41
30/11/1998,1966.72
30/12/1998,1981.57
29/01/1999,2013.27
26/02/1999,1997.47
31/03/1999,2016.26
30/04/1999,2053.58
31/05/1999,2019.61
30/06/1999,2017.73
30/07/1999,1986.36
31/08/1999,1991.03
30/09/1999,1978.96
29/10/1999,1994.55
30/11/1999,2030.06
30/12/1999,2066.33
31/01/2000,2038.54
29/02/2000,2074.03
31/03/2000,2110.95
28/04/2000,2107.1
31/05/2000,2088.07
30/06/2000,2102.05
31/07/2000,2111.21
31/08/2000,2141.38
29/09/2000,2126.09
31/10/2000,2145.23
30/11/2000,2133.29
29/12/2000,2138.2
31/01/2001,2168.04
28/02/2001,2130.59
30/03/2001,2123.2
30/04/2001,2147.52
31/05/2001,2158.38
29/06/2001,2149.21
31/07/2001,2146.43
31/08/2001,2120.34
28/09/2001,2081.06
31/10/2001,2132.48
30/11/2001,2155.22
31/12/2001,2147.65
31/01/2002,2153.38
28/02/2002,2153.39
29/03/2002,2153.99
30/04/2002,2142.09
31/05/2002,2127.54
28/06/2002,2090.05
31/07/2002,2055.01
30/08/2002,2075.23
30/09/2002,2014.69
31/10/2002,2057.83
29/11/2002,2088.22
31/12/2002,2062.52
31/01/2003,2039.2
28/02/2003,2036.37
31/03/2003,2016.21
30/04/2003,2065.25
30/05/2003,2092.59
30/06/2003,2113.85
31/07/2003,2114.91
29/08/2003,2134.83
30/09/2003,2126.04
31/10/2003,2145.29
28/11/2003,2141.63
31/12/2003,2168.02
30/01/2004,2191.16
27/02/2004,2212.14
31/03/2004,2222.98
30/04/2004,2199.35
31/05/2004,2188.22
30/06/2004,2207.09
30/07/2004,2200.79
31/08/2004,2216.89
30/09/2004,2224.07
29/10/2004,2242.29
30/11/2004,2259.87
31/12/2004,2277.53
31/01/2005,2298.7
28/02/2005,2301.27
31/03/2005,2302.8
29/04/2005,2305.38
31/05/2005,2353.07
30/06/2005,2384.52
29/07/2005,2392.76
31/08/2005,2399.54
30/09/2005,2418.42
31/10/2005,2391.41
30/11/2005,2417.77
30/12/2005,2444.84
31/01/2006,2447.17
28/02/2006,2463.31
31/03/2006,2450.57
28/04/2006,2435.42
31/05/2006,2402.77
30/06/2006,2402.01
31/07/2006,2417.22
31/08/2006,2444.94
29/09/2006,2468.81
31/10/2006,2491.64
30/11/2006,2492
29/12/2006,2495.79
31/01/2007,2502.82
28/02/2007,2502.01
30/03/2007,2503.29
30/04/2007,2517.21
31/05/2007,2529.68
29/06/2007,2513.56
31/07/2007,2504.54
31/08/2007,2520.71
28/09/2007,2522.36
31/10/2007,2540.46
30/11/2007,2522.71
31/12/2007,2512.68
31/01/2008,2481.17
29/02/2008,2463.07
31/03/2008,2427.6
30/04/2008,2448.5
30/05/2008,2440.33
30/06/2008,2369.38
31/07/2008,2381.97
29/08/2008,2424.43
30/09/2008,2379.71
31/10/2008,2330.55
28/11/2008,2337.06
31/12/2008,2345.88
30/01/2009,2301.52
27/02/2009,2229.54
31/03/2009,2251.11
30/04/2009,2332.79
29/05/2009,2354.41
30/06/2009,2377.01
31/07/2009,2443.88
31/08/2009,2481.88
30/09/2009,2517.63
30/10/2009,2504.07
30/11/2009,2529.83
31/12/2009,2553.59
29/01/2010,2556.55
26/02/2010,2576.41
31/03/2010,2638.57
30/04/2010,2639.46
31/05/2010,2634.57
30/06/2010,2630.07
30/07/2010,2653.49
31/08/2010,2675.95
30/09/2010,2674.92
29/10/2010,2698.33
30/11/2010,2680.08
31/12/2010,2702.19
31/01/2011,2696.51
28/02/2011,2713.39
31/03/2011,2679.9
29/04/2011,2694.24
31/05/2011,2709.06
30/06/2011,2688.46
29/07/2011,2697.87
31/08/2011,2634.34
30/09/2011,2603.58
31/10/2011,2648.55
30/11/2011,2633.68
30/12/2011,2678
31/01/2012,2729.66
29/02/2012,2756.01
30/03/2012,2757.86
30/04/2012,2759.68
31/05/2012,2759.76
29/06/2012,2766.92
31/07/2012,2833.76
31/08/2012,2842.44
28/09/2012,2855.32
31/10/2012,2845.06
30/11/2012,2861.77
31/12/2012,2868.65
31/01/2013,2862.66
28/02/2013,2889.69
28/03/2013,2925.01
30/04/2013,2941.19
31/05/2013,2932.57
28/06/2013,2878.45
31/07/2013,2913.96
30/08/2013,2889.51
30/09/2013,2925.19
31/10/2013,2964.73
29/11/2013,2968.98
31/12/2013,2968.57
31/01/2014,2955.29
28/02/2014,3002.52
31/03/2014,3012.42
30/04/2014,3022.73
30/05/2014,3068.32
30/06/2014,3083.36
31/07/2014,3066.48
29/08/2014,3112.29
30/09/2014,3095.53
31/10/2014,3108.57
28/11/2014,3148.08
31/12/2014,3132.86
30/01/2015,3170.51
27/02/2015,3231.25
31/03/2015,3244.06
30/04/2015,3230.73
29/05/2015,3237.39
30/06/2015,3169.36
31/07/2015,3218.27
31/08/2015,3121.08
30/09/2015,3073.47
30/10/2015,3171.08
30/11/2015,3184.89
31/12/2015,3123.28
29/01/2016,3069.75
29/02/2016,3051.43
31/03/2016,3114.6
29/04/2016,3119.22
31/05/2016,3145.9
30/06/2016,3145.26
29/07/2016,3203.91
31/08/2016,3216.16
30/09/2016,3217.5
31/10/2016,3197.68
30/11/2016,3175.99
30/12/2016,3224.73
31/01/2017,3225.94
28/02/2017,3274.25
31/03/2017,3291.49
28/04/2017,3320.75
31/05/2017,3350.35
30/06/2017,3329.03
31/07/2017,3352.97
31/08/2017,3363.75
29/09/2017,3383.73
31/10/2017,3414.89
30/11/2017,3401.37
29/12/2017,3408.96
31/01/2018,3424.69
28/02/2018,3367.28
29/03/2018,3343.33
30/04/2018,3359.95
31/05/2018,3364.38
29/06/2018,3342.4
31/07/2018,3377.89
31/08/2018,3370.67
28/09/2018,3357.94
31/10/2018,3262.51
30/11/2018,3248.41
31/12/2018,3171.38
31/01/2019,3274.22
28/02/2019,3305.14
29/03/2019,3342.34
30/04/2019,3381.12
